instrument_key,venue,instrument_type,symbol,venue_type,tardis_exchange,data_provider,asset_class,available_from_datetime,available_to_datetime,data_types,base_asset,quote_asset,settle_asset,exchange_raw_symbol,tardis_symbol,inverse,strike,option_type,expiry,contract_size,tick_size,underlying,min_size,ccxt_symbol,ccxt_exchange,base_asset_contract_address,quote_asset_contract_address,pool_address,pool_fee_tier
BINANCE-SPOT:SPOT_PAIR:NEO-USDT,BINANCE-SPOT,SPOT_PAIR,NEO-USDT,exchange,binance,tardis,crypto,2019-03-30T00:00:00.000Z,,"trades,book_snapshot_5",NEO,USDT,USDT,neousdt,neousdt,False,,,,,0.001,,0.01,NEO/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:LTC-USDT,BINANCE-SPOT,SPOT_PAIR,LTC-USDT,exchange,binance,tardis,crypto,2019-03-30T00:00:00.000Z,,"trades,book_snapshot_5",LTC,USDT,USDT,ltcusdt,ltcusdt,False,,,,,0.01,,0.001,LTC/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:BTC-USDT,BINANCE-SPOT,SPOT_PAIR,BTC-USDT,exchange,binance,tardis,crypto,2019-03-30T00:00:00.000Z,,"trades,book_snapshot_5",BTC,USDT,USDT,btcusdt,btcusdt,False,,,,,0.01,,1e-05,BTC/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:ETH-USDT,BINANCE-SPOT,SPOT_PAIR,ETH-USDT,exchange,binance,tardis,crypto,2019-03-30T00:00:00.000Z,,"trades,book_snapshot_5",ETH,USDT,USDT,ethusdt,ethusdt,False,,,,,0.01,,0.0001,ETH/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:ETC-USDT,BINANCE-SPOT,SPOT_PAIR,ETC-USDT,exchange,binance,tardis,crypto,2019-03-30T00:00:00.000Z,,"trades,book_snapshot_5",ETC,USDT,USDT,etcusdt,etcusdt,False,,,,,0.01,,0.01,ETC/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:TRX-USDT,BINANCE-SPOT,SPOT_PAIR,TRX-USDT,exchange,binance,tardis,crypto,2019-03-30T00:00:00.000Z,,"trades,book_snapshot_5",TRX,USDT,USDT,trxusdt,trxusdt,False,,,,,0.0001,,0.1,TRX/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:BNB-USDT,BINANCE-SPOT,SPOT_PAIR,BNB-USDT,exchange,binance,tardis,crypto,2019-03-30T00:00:00.000Z,,"trades,book_snapshot_5",BNB,USDT,USDT,bnbusdt,bnbusdt,False,,,,,0.01,,0.001,BNB/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:XRP-USDT,BINANCE-SPOT,SPOT_PAIR,XRP-USDT,exchange,binance,tardis,crypto,2019-03-30T00:00:00.000Z,,"trades,book_snapshot_5",XRP,USDT,USDT,xrpusdt,xrpusdt,False,,,,,0.0001,,0.1,XRP/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:ADA-USDT,BINANCE-SPOT,SPOT_PAIR,ADA-USDT,exchange,binance,tardis,crypto,2019-03-30T00:00:00.000Z,,"trades,book_snapshot_5",ADA,USDT,USDT,adausdt,adausdt,False,,,,,0.0001,,0.1,ADA/USDT,binance,,,,
BINANCE-SPOT:SPOT_PAIR:QTUM-USDT,BINANCE-SPOT,SPOT_PAIR,QTUM-USDT,exchange,binance,tardis,crypto,2019-03-30T00:00:00.000Z,,"trades,book_snapshot_5",QTUM,USDT,USDT,qtumusdt,qtumusdt,False,,,,,0.001,,0.1,QTUM/USDT,binance,,,,
